franchID,kind,label,firstYear,lastYear,teamID,lgID
WST,name,Washington Nationals,1884,1884,WS7,AA
WST,location,Washington,1884,1884,,
WNA,name,Washington Nationals,1884,1884,WSU,UA
WNA,location,Washington,1884,1884,,
WNL,name,Washington Nationals,1886,1889,WS8,NL
WNL,location,Washington,1886,1889,,
WSN,name,Montreal Expos,1969,2004,MON,NL
WSN,name,Washington Nationals,2005,2025,WAS,NL
WSN,location,Montreal,1969,2004,,
WSN,location,Washington,2005,2025,,
OLY,name,Washington Olympics,1871,1872,WS3,NA
OLY,location,Washington,1871,1872,,
WAP,name,Washington Pilots,1932,1932,WAP,EWL
WAP,location,Washington,1932,1932,,
WAS,name,Washington Statesmen,1891,1891,WS9,AA
WAS,name,Washington Senators,1892,1899,WAS,NL
WAS,location,Washington,1891,1899,,
WBS,name,West Baden Sprudels,1910,1913,WBS,WES
WBS,location,West Baden,1910,1913,,
WP,name,Washington Potomacs,1924,1924,WP,ECL
WP,name,Wilmington Potomacs,1925,1925,WMP,ECL
WP,location,Washington,1924,1924,,
WP,location,Wilmington,1925,1925,,
WIL,name,Wilmington Quicksteps,1884,1884,WIL,UA
WIL,location,Wilmington,1884,1884,,
WOR,name,Worcester Ruby Legs,1880,1882,WOR,NL
WOR,location,Worcester,1880,1882,,
